# DO NOT EDIT BY HAND - rebuild with tools/generate/import_vectors.py
# Interrupt vector map per startup variant. Slot 0 (reset) is emitted by
# crt0_ch32.S, so slots start at 1. An empty handler means a reserved slot.
# Verified against the EVT startup sources every PR by tests/startup/.
variant,slot,handler
v003,1,
v003,2,NMI_Handler
v003,3,HardFault_Handler
v003,4,
v003,5,
v003,6,
v003,7,
v003,8,
v003,9,
v003,10,
v003,11,
v003,12,SysTick_Handler
v003,13,
v003,14,SW_Handler
v003,15,
v003,16,WWDG_IRQHandler
v003,17,PVD_IRQHandler
v003,18,FLASH_IRQHandler
v003,19,RCC_IRQHandler
v003,20,EXTI7_0_IRQHandler
v003,21,AWU_IRQHandler
v003,22,DMA1_Channel1_IRQHandler
v003,23,DMA1_Channel2_IRQHandler
v003,24,DMA1_Channel3_IRQHandler
v003,25,DMA1_Channel4_IRQHandler
v003,26,DMA1_Channel5_IRQHandler
v003,27,DMA1_Channel6_IRQHandler
v003,28,DMA1_Channel7_IRQHandler
v003,29,ADC1_IRQHandler
v003,30,I2C1_EV_IRQHandler
v003,31,I2C1_ER_IRQHandler
v003,32,USART1_IRQHandler
v003,33,SPI1_IRQHandler
v003,34,TIM1_BRK_IRQHandler
v003,35,TIM1_UP_IRQHandler
v003,36,TIM1_TRG_COM_IRQHandler
v003,37,TIM1_CC_IRQHandler
v003,38,TIM2_IRQHandler
v00x,1,
v00x,2,NMI_Handler
v00x,3,HardFault_Handler
v00x,4,
v00x,5,
v00x,6,
v00x,7,
v00x,8,
v00x,9,
v00x,10,
v00x,11,
v00x,12,SysTick_Handler
v00x,13,
v00x,14,SW_Handler
v00x,15,
v00x,16,WWDG_IRQHandler
v00x,17,PVD_IRQHandler
v00x,18,FLASH_IRQHandler
v00x,19,RCC_IRQHandler
v00x,20,EXTI7_0_IRQHandler
v00x,21,AWU_IRQHandler
v00x,22,DMA1_Channel1_IRQHandler
v00x,23,DMA1_Channel2_IRQHandler
v00x,24,DMA1_Channel3_IRQHandler
v00x,25,DMA1_Channel4_IRQHandler
v00x,26,DMA1_Channel5_IRQHandler
v00x,27,DMA1_Channel6_IRQHandler
v00x,28,DMA1_Channel7_IRQHandler
v00x,29,ADC1_IRQHandler
v00x,30,I2C1_EV_IRQHandler
v00x,31,I2C1_ER_IRQHandler
v00x,32,USART1_IRQHandler
v00x,33,SPI1_IRQHandler
v00x,34,TIM1_BRK_IRQHandler
v00x,35,TIM1_UP_IRQHandler
v00x,36,TIM1_TRG_COM_IRQHandler
v00x,37,TIM1_CC_IRQHandler
v00x,38,TIM2_IRQHandler
v00x,39,USART2_IRQHandler
v00x,40,OPCM_IRQHandler
v20x_d6,1,
v20x_d6,2,NMI_Handler
v20x_d6,3,HardFault_Handler
v20x_d6,4,
v20x_d6,5,Ecall_M_Mode_Handler
v20x_d6,6,
v20x_d6,7,
v20x_d6,8,Ecall_U_Mode_Handler
v20x_d6,9,Break_Point_Handler
v20x_d6,10,
v20x_d6,11,
v20x_d6,12,SysTick_Handler
v20x_d6,13,
v20x_d6,14,SW_Handler
v20x_d6,15,
v20x_d6,16,WWDG_IRQHandler
v20x_d6,17,PVD_IRQHandler
v20x_d6,18,TAMPER_IRQHandler
v20x_d6,19,RTC_IRQHandler
v20x_d6,20,FLASH_IRQHandler
v20x_d6,21,RCC_IRQHandler
v20x_d6,22,EXTI0_IRQHandler
v20x_d6,23,EXTI1_IRQHandler
v20x_d6,24,EXTI2_IRQHandler
v20x_d6,25,EXTI3_IRQHandler
v20x_d6,26,EXTI4_IRQHandler
v20x_d6,27,DMA1_Channel1_IRQHandler
v20x_d6,28,DMA1_Channel2_IRQHandler
v20x_d6,29,DMA1_Channel3_IRQHandler
v20x_d6,30,DMA1_Channel4_IRQHandler
v20x_d6,31,DMA1_Channel5_IRQHandler
v20x_d6,32,DMA1_Channel6_IRQHandler
v20x_d6,33,DMA1_Channel7_IRQHandler
v20x_d6,34,ADC1_2_IRQHandler
v20x_d6,35,USB_HP_CAN1_TX_IRQHandler
v20x_d6,36,USB_LP_CAN1_RX0_IRQHandler
v20x_d6,37,CAN1_RX1_IRQHandler
v20x_d6,38,CAN1_SCE_IRQHandler
v20x_d6,39,EXTI9_5_IRQHandler
v20x_d6,40,TIM1_BRK_IRQHandler
v20x_d6,41,TIM1_UP_IRQHandler
v20x_d6,42,TIM1_TRG_COM_IRQHandler
v20x_d6,43,TIM1_CC_IRQHandler
v20x_d6,44,TIM2_IRQHandler
v20x_d6,45,TIM3_IRQHandler
v20x_d6,46,TIM4_IRQHandler
v20x_d6,47,I2C1_EV_IRQHandler
v20x_d6,48,I2C1_ER_IRQHandler
v20x_d6,49,I2C2_EV_IRQHandler
v20x_d6,50,I2C2_ER_IRQHandler
v20x_d6,51,SPI1_IRQHandler
v20x_d6,52,SPI2_IRQHandler
v20x_d6,53,USART1_IRQHandler
v20x_d6,54,USART2_IRQHandler
v20x_d6,55,USART3_IRQHandler
v20x_d6,56,EXTI15_10_IRQHandler
v20x_d6,57,RTCAlarm_IRQHandler
v20x_d6,58,USBWakeUp_IRQHandler
v20x_d6,59,USBFS_IRQHandler
v20x_d6,60,USBFSWakeUp_IRQHandler
v20x_d6,61,UART4_IRQHandler
v20x_d6,62,DMA1_Channel8_IRQHandler
v20x_d8,1,
v20x_d8,2,NMI_Handler
v20x_d8,3,HardFault_Handler
v20x_d8,4,
v20x_d8,5,Ecall_M_Mode_Handler
v20x_d8,6,
v20x_d8,7,
v20x_d8,8,Ecall_U_Mode_Handler
v20x_d8,9,Break_Point_Handler
v20x_d8,10,
v20x_d8,11,
v20x_d8,12,SysTick_Handler
v20x_d8,13,
v20x_d8,14,SW_Handler
v20x_d8,15,
v20x_d8,16,WWDG_IRQHandler
v20x_d8,17,PVD_IRQHandler
v20x_d8,18,TAMPER_IRQHandler
v20x_d8,19,RTC_IRQHandler
v20x_d8,20,FLASH_IRQHandler
v20x_d8,21,RCC_IRQHandler
v20x_d8,22,EXTI0_IRQHandler
v20x_d8,23,EXTI1_IRQHandler
