# DO NOT EDIT BY HAND - rebuild with: ch32rv db list --json
# The --chip vocabulary ch32rv accepts, for the CH32 families this
# platform builds for. A name absent from this file makes the board
# compile-only: no build.ch32rv_chip is emitted, and an upload attempt
# fails closed with ch32rv's own `target-not-in-db` (exit 20).
# ch32rv also accepts a FAMILY name, which probe-rs did not, so a series
# whose exact part is unknown can still upload - see ch32rv_chip() in
# tools/generate/generate.py.
# Source of truth: ch32rv's embedded DB, itself generated by
# `cargo xtask db-gen` from ch32-device-data@e3e723a - the same commit
# vendor/ch32-device-data.lock.toml pins. See docs/adr/0008.
ch32rv_version,family,series,chip,verified
0.8.0,CH32H417,CH32H415,CH32H415REU6,false
0.8.0,CH32H417,CH32H416,CH32H416RDU6,false
0.8.0,CH32H417,CH32H417,CH32H417MEU6,false
0.8.0,CH32H417,CH32H417,CH32H417QEU6,false
0.8.0,CH32H417,CH32H417,CH32H417WEU6,false
0.8.0,CH32L103,CH32L103,CH32L103C8T6,true
0.8.0,CH32L103,CH32L103,CH32L103F8P6,false
0.8.0,CH32L103,CH32L103,CH32L103F8U6,false
0.8.0,CH32L103,CH32L103,CH32L103G8R6,false
0.8.0,CH32L103,CH32L103,CH32L103K8U6,false
0.8.0,CH32V003,CH32V003,CH32V003A4M6,false
0.8.0,CH32V003,CH32V003,CH32V003F4P6,true
0.8.0,CH32V003,CH32V003,CH32V003F4U6,false
0.8.0,CH32V003,CH32V003,CH32V003J4M6,false
0.8.0,CH32V006,CH32M007,CH32M007E8R6,false
0.8.0,CH32V006,CH32M007,CH32M007G8R6,false
0.8.0,CH32V006,CH32V002,CH32V002A4M6,false
0.8.0,CH32V006,CH32V002,CH32V002D4U6,false
0.8.0,CH32V006,CH32V002,CH32V002F4P6,false
0.8.0,CH32V006,CH32V002,CH32V002F4U6,false
0.8.0,CH32V006,CH32V002,CH32V002J4M6,false
0.8.0,CH32V006,CH32V004,CH32V004F6P1,false
0.8.0,CH32V006,CH32V004,CH32V004F6U1,false
0.8.0,CH32V006,CH32V005,CH32V005D6U6,false
0.8.0,CH32V006,CH32V005,CH32V005E6R6,false
0.8.0,CH32V006,CH32V005,CH32V005F6P6,false
0.8.0,CH32V006,CH32V005,CH32V005F6U6,false
0.8.0,CH32V006,CH32V006,CH32V006E8R6,false
0.8.0,CH32V006,CH32V006,CH32V006K8U6,true
0.8.0,CH32V006,CH32V007,CH32V007E8R6,false
0.8.0,CH32V006,CH32V007,CH32V007K8U6,false
0.8.0,CH32V103,CH32V103,CH32V103C8T6,false
0.8.0,CH32V103,CH32V103,CH32V103R8T6,true
0.8.0,CH32V20x,CH32V203,CH32V203C6T6,false
0.8.0,CH32V20x,CH32V203,CH32V203C8T6,true
0.8.0,CH32V20x,CH32V203,CH32V203C8U6,false
0.8.0,CH32V20x,CH32V203,CH32V203F6P6,false
0.8.0,CH32V20x,CH32V203,CH32V203F8P6,false
0.8.0,CH32V20x,CH32V203,CH32V203F8U6,false
0.8.0,CH32V20x,CH32V203,CH32V203G6U6,false
0.8.0,CH32V20x,CH32V203,CH32V203G8R6,false
0.8.0,CH32V20x,CH32V203,CH32V203K8T6,false
0.8.0,CH32V20x,CH32V203,CH32V203RBT6,false
0.8.0,CH32V20x,CH32V208,CH32V208CBU6,false
0.8.0,CH32V20x,CH32V208,CH32V208GBU6,false
0.8.0,CH32V20x,CH32V208,CH32V208RBT6,false
0.8.0,CH32V20x,CH32V208,CH32V208WBU6,false
0.8.0,CH32V307,CH32V303,CH32V303CBT6,false
0.8.0,CH32V307,CH32V303,CH32V303RBT6,false
0.8.0,CH32V307,CH32V303,CH32V303RCT6,false
0.8.0,CH32V307,CH32V303,CH32V303VCT6,false
0.8.0,CH32V307,CH32V305,CH32V305FBP6,false
0.8.0,CH32V307,CH32V305,CH32V305GBU6,false
0.8.0,CH32V307,CH32V305,CH32V305RBT6,false
0.8.0,CH32V307,CH32V307,CH32V307RCT6,false
0.8.0,CH32V307,CH32V307,CH32V307VCT6,true
0.8.0,CH32V307,CH32V307,CH32V307WCU6,false
0.8.0,CH32V307,CH32V317,CH32V317VCT6,false
0.8.0,CH32V307,CH32V317,CH32V317WCU6,false
0.8.0,CH32X035,CH32X033,CH32X033F8P6,false
0.8.0,CH32X035,CH32X035,CH32X035C8T6,true
0.8.0,CH32X035,CH32X035,CH32X035F7P6,false
0.8.0,CH32X035,CH32X035,CH32X035F8U6,false
0.8.0,CH32X035,CH32X035,CH32X035G8R6,false
0.8.0,CH32X035,CH32X035,CH32X035G8U6,false
0.8.0,CH32X035,CH32X035,CH32X035R8T6,false
