# DO NOT EDIT BY HAND - rebuild with: probe-rs chip list
# probe-rs targets for the CH32 families this platform builds for.
# Regenerate: probe-rs chip list | (see docs/adr/0008 and tools/index/tools_probe_rs.json)
probe_rs_version,family,chip
0.32.0,CH32X0 / CH643 Series,CH32X033F8P6
0.32.0,CH32X0 / CH643 Series,CH32X034F8P6
0.32.0,CH32X0 / CH643 Series,CH32X034F8U6
0.32.0,CH32X0 / CH643 Series,CH32X035C8T6
0.32.0,CH32X0 / CH643 Series,CH32X035F7P6
0.32.0,CH32X0 / CH643 Series,CH32X035F8U6
0.32.0,CH32X0 / CH643 Series,CH32X035G8R6
0.32.0,CH32X0 / CH643 Series,CH32X035G8U6
0.32.0,CH32X0 / CH643 Series,CH32X035R8T6
0.32.0,CH32X0 / CH643 Series,CH643W
0.32.0,CH32X0 / CH643 Series,CH643Q
0.32.0,CH32X0 / CH643 Series,CH643L
0.32.0,CH32X0 / CH643 Series,CH643U
0.32.0,CH32H4 Series,CH32H415REU6
0.32.0,CH32H4 Series,CH32H416RDU6
0.32.0,CH32H4 Series,CH32H417MEU6
0.32.0,CH32H4 Series,CH32H417QEU6
0.32.0,CH32H4 Series,CH32H417WEU6
0.32.0,CH32V2 / CH32V3 Series,CH32V203C6T6
0.32.0,CH32V2 / CH32V3 Series,CH32V203C8T6
0.32.0,CH32V2 / CH32V3 Series,CH32V203C8U6
0.32.0,CH32V2 / CH32V3 Series,CH32V203F6P6
0.32.0,CH32V2 / CH32V3 Series,CH32V203F8P6
0.32.0,CH32V2 / CH32V3 Series,CH32V203F8U6
0.32.0,CH32V2 / CH32V3 Series,CH32V203G6U6
0.32.0,CH32V2 / CH32V3 Series,CH32V203G8R6
0.32.0,CH32V2 / CH32V3 Series,CH32V203K6T6
0.32.0,CH32V2 / CH32V3 Series,CH32V203K8T6
0.32.0,CH32V2 / CH32V3 Series,CH32V203RBT6
0.32.0,CH32V2 / CH32V3 Series,CH32V203RBT6_c144_r48
0.32.0,CH32V2 / CH32V3 Series,CH32V203RBT6_c160_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V208CBU6
0.32.0,CH32V2 / CH32V3 Series,CH32V208CBU6_c144_r48
0.32.0,CH32V2 / CH32V3 Series,CH32V208CBU6_c160_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V208GBU6
0.32.0,CH32V2 / CH32V3 Series,CH32V208GBU6_c144_r48
0.32.0,CH32V2 / CH32V3 Series,CH32V208GBU6_c160_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V208RBT6
0.32.0,CH32V2 / CH32V3 Series,CH32V208RBT6_c144_r48
0.32.0,CH32V2 / CH32V3 Series,CH32V208RBT6_c160_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V208WBU6
0.32.0,CH32V2 / CH32V3 Series,CH32V208WBU6_c144_r48
0.32.0,CH32V2 / CH32V3 Series,CH32V208WBU6_c160_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V303CBT6
0.32.0,CH32V2 / CH32V3 Series,CH32V303RBT6
0.32.0,CH32V2 / CH32V3 Series,CH32V303RCT6_c192_r128
0.32.0,CH32V2 / CH32V3 Series,CH32V303RCT6_c224_r96
0.32.0,CH32V2 / CH32V3 Series,CH32V303RCT6
0.32.0,CH32V2 / CH32V3 Series,CH32V303RCT6_c128_r192
0.32.0,CH32V2 / CH32V3 Series,CH32V303RCT6_c288_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V303VCT6_c192_r128
0.32.0,CH32V2 / CH32V3 Series,CH32V303VCT6_c224_r96
0.32.0,CH32V2 / CH32V3 Series,CH32V303VCT6
0.32.0,CH32V2 / CH32V3 Series,CH32V303VCT6_c128_r192
0.32.0,CH32V2 / CH32V3 Series,CH32V303VCT6_c288_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V305FBP6
0.32.0,CH32V2 / CH32V3 Series,CH32V305GBU6
0.32.0,CH32V2 / CH32V3 Series,CH32V305RBT6
0.32.0,CH32V2 / CH32V3 Series,CH32V307RCT6_c192_r128
0.32.0,CH32V2 / CH32V3 Series,CH32V307RCT6_c224_r96
0.32.0,CH32V2 / CH32V3 Series,CH32V307RCT6
0.32.0,CH32V2 / CH32V3 Series,CH32V307RCT6_c128_r192
0.32.0,CH32V2 / CH32V3 Series,CH32V307RCT6_c288_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V307VCT6_c192_r128
0.32.0,CH32V2 / CH32V3 Series,CH32V307VCT6_c224_r96
0.32.0,CH32V2 / CH32V3 Series,CH32V307VCT6
0.32.0,CH32V2 / CH32V3 Series,CH32V307VCT6_c128_r192
0.32.0,CH32V2 / CH32V3 Series,CH32V307VCT6_c288_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V307WCU6_c192_r128
0.32.0,CH32V2 / CH32V3 Series,CH32V307WCU6_c224_r96
0.32.0,CH32V2 / CH32V3 Series,CH32V307WCU6
0.32.0,CH32V2 / CH32V3 Series,CH32V307WCU6_c128_r192
0.32.0,CH32V2 / CH32V3 Series,CH32V307WCU6_c288_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V317VCT6_c192_r128
0.32.0,CH32V2 / CH32V3 Series,CH32V317VCT6_c224_r96
0.32.0,CH32V2 / CH32V3 Series,CH32V317VCT6
0.32.0,CH32V2 / CH32V3 Series,CH32V317VCT6_c128_r192
0.32.0,CH32V2 / CH32V3 Series,CH32V317VCT6_c288_r32
0.32.0,CH32V2 / CH32V3 Series,CH32V317WCU6_c192_r128
0.32.0,CH32V2 / CH32V3 Series,CH32V317WCU6_c224_r96
0.32.0,CH32V2 / CH32V3 Series,CH32V317WCU6
0.32.0,CH32V2 / CH32V3 Series,CH32V317WCU6_c128_r192
0.32.0,CH32V2 / CH32V3 Series,CH32V317WCU6_c288_r32
0.32.0,CH32V1 Series,CH32V103C6T6
0.32.0,CH32V1 Series,CH32V103C8T6
0.32.0,CH32V1 Series,CH32V103C8U6
0.32.0,CH32V1 Series,CH32V103R8T6
0.32.0,CH32F1 Series,CH32F103C6T6
0.32.0,CH32F1 Series,CH32F103C8T6
0.32.0,CH32F1 Series,CH32F103R8T6
0.32.0,CH32V00X Series,CH32M007E8R6
0.32.0,CH32V00X Series,CH32M007E8U6
0.32.0,CH32V00X Series,CH32M007G8R6
0.32.0,CH32V00X Series,CH32M007K8U7
0.32.0,CH32V00X Series,CH32V002F4P6
0.32.0,CH32V00X Series,CH32V002F4U6
0.32.0,CH32V00X Series,CH32V002A4M6
0.32.0,CH32V00X Series,CH32V002D4U6
0.32.0,CH32V00X Series,CH32V002J4M6
0.32.0,CH32V00X Series,CH32V004F6P1
0.32.0,CH32V00X Series,CH32V004F6U1
0.32.0,CH32V00X Series,CH32V005E6R6
0.32.0,CH32V00X Series,CH32V005F6U6
0.32.0,CH32V00X Series,CH32V005F6P6
0.32.0,CH32V00X Series,CH32V005D6U6
0.32.0,CH32V00X Series,CH32V006K8U6
0.32.0,CH32V00X Series,CH32V006E8R6
0.32.0,CH32V00X Series,CH32V006F8U6
0.32.0,CH32V00X Series,CH32V006F8P6
0.32.0,CH32V00X Series,CH32V007E8R6
0.32.0,CH32V00X Series,CH32V007K8U6
0.32.0,CH32V003 / CH641 Series,CH32V003J4M6
0.32.0,CH32V003 / CH641 Series,CH32V003A4M6
0.32.0,CH32V003 / CH641 Series,CH32V003F4U6
0.32.0,CH32V003 / CH641 Series,CH32V003F4P6
0.32.0,CH32V003 / CH641 Series,CH641F
0.32.0,CH32V003 / CH641 Series,CH641U
0.32.0,CH32V003 / CH641 Series,CH641D
0.32.0,CH32V003 / CH641 Series,CH641X
0.32.0,CH32V003 / CH641 Series,CH641P
0.32.0,CH32L1 Series,CH32L103C8T6
0.32.0,CH32L1 Series,CH32L103F7P6
0.32.0,CH32L1 Series,CH32L103F8P6
0.32.0,CH32L1 Series,CH32L103F8U6
